iter	Passed	Remaining
0	121	120971
1	123	61405
2	124	41534
3	126	31569
4	128	25598
5	133	22043
6	136	19325
7	138	17200
8	140	15474
9	141	14052
10	143	12892
11	145	11999
12	148	11246
13	149	10513
14	150	9856
15	150	9281
16	151	8776
17	152	8325
18	153	7921
19	154	7550
20	154	7214
21	155	6908
22	156	6628
23	156	6371
24	157	6136
25	157	5918
26	158	5716
27	159	5553
28	160	5390
29	161	5230
30	162	5079
31	163	4937
32	164	4807
33	165	4707
34	166	4597
35	167	4483
36	168	4374
37	168	4271
38	169	4172
39	170	4081
40	170	3993
41	171	3909
42	172	3829
43	172	3752
44	173	3685
45	174	3622
46	175	3564
47	176	3503
48	177	3443
49	178	3390
50	179	3348
51	181	3300
52	181	3248
53	182	3195
54	183	3145
55	183	3097
56	184	3049
57	184	3004
58	185	2960
59	186	2919
60	187	2891
61	188	2857
62	190	2832
63	191	2799
64	192	2766
65	192	2731
66	193	2696
67	193	2658
68	194	2625
69	195	2594
70	195	2563
71	196	2532
72	197	2503
73	197	2475
74	198	2447
75	199	2420
76	199	2394
77	200	2368
78	200	2343
79	201	2318
80	202	2294
81	204	2289
82	205	2269
83	206	2247
84	206	2223
85	207	2202
86	207	2179
87	208	2158
88	209	2139
89	209	2120
90	210	2101
91	210	2082
92	211	2063
93	212	2045
94	212	2028
95	213	2010
96	214	1993
97	214	1977
98	215	1960
99	216	1944
100	216	1928
101	217	1911
102	218	1902
103	219	1892
104	220	1881
105	221	1868
106	222	1858
107	223	1848
108	224	1835
109	225	1821
110	225	1807
111	226	1795
112	227	1783
113	227	1770
114	228	1758
115	228	1744
116	229	1732
117	230	1721
118	230	1708
119	231	1697
120	232	1690
121	234	1686
122	235	1675
123	235	1666
124	236	1655
125	237	1645
126	237	1634
127	238	1623
128	238	1612
129	239	1603
130	240	1593
131	240	1583
132	241	1573
133	242	1564
134	242	1555
135	243	1545
136	243	1536
137	244	1527
138	245	1518
139	245	1510
140	246	1504
141	247	1498
142	248	1491
143	249	1483
144	250	1477
145	252	1474
146	253	1468
147	253	1460
148	254	1452
149	254	1444
150	255	1437
151	256	1429
152	256	1422
153	257	1415
154	258	1407
155	258	1400
156	259	1393
157	260	1387
158	260	1380
159	262	1376
160	263	1372
161	264	1365
162	264	1359
163	265	1353
164	266	1349
165	267	1345
166	268	1339
167	269	1333
168	270	1329
169	271	1323
170	271	1317
171	272	1311
172	273	1305
173	274	1301
174	274	1296
175	278	1304
176	280	1302
177	281	1299
178	282	1297
179	283	1292
180	284	1286
181	285	1283
182	286	1280
183	287	1276
184	289	1274
185	290	1269
186	293	1274
187	295	1275
188	296	1271
189	297	1267
190	298	1263
191	299	1258
192	300	1254
193	301	1253
194	303	1251
195	304	1248
196	305	1244
197	308	1248
198	309	1244
199	310	1240
200	311	1237
201	314	1240
202	315	1239
203	316	1236
204	317	1232
205	319	1231
206	321	1230
207	323	1231
208	325	1230
209	326	1227
210	327	1224
211	328	1221
212	329	1217
213	330	1214
214	331	1211
215	332	1208
216	333	1204
217	334	1200
218	339	1209
219	340	1207
220	341	1203
221	342	1199
222	343	1196
223	344	1195
